America/Rankin_Inlet, -21600000, 3600000, true, Central Standard Time
America/Regina, -21600000, 0, false, Central Standard Time
America/Resolute, -21600000, 3600000, true, Central Standard Time
America/Swift_Current, -21600000, 0, false, Central Standard Time
America/Tegucigalpa, -21600000, 0, false, Central Standard Time
America/Winnipeg, -21600000, 3600000, true, Central Standard Time
CST, -21600000, 3600000, true, Central Standard Time
CST6CDT, -21600000, 3600000, true, Central Standard Time
Canada/Central, -21600000, 3600000, true, Central Standard Time
Canada/East-Saskatchewan, -21600000, 0, false, Central Standard Time
Canada/Saskatchewan, -21600000, 0, false, Central Standard Time
Chile/EasterIsland, -21600000, 3600000, true, Easter Is. Time
Etc/GMT+6, -21600000, 0, false, GMT-06:00
Mexico/General, -21600000, 3600000, true, Central Standard Time
Pacific/Easter, -21600000, 3600000, true, Easter Is. Time
Pacific/Galapagos, -21600000, 0, false, Galapagos Time
SystemV/CST6, -21600000, 0, false, Central Standard Time
SystemV/CST6CDT, -21600000, 3600000, true, Central Standard Time
US/Central, -21600000, 3600000, true, Central Standard Time
US/Indiana-Starke, -21600000, 3600000, true, Central Standard Time
America/Atikokan, -18000000, 0, false, Eastern Standard Time
America/Bogota, -18000000, 0, false, Colombia Time
America/Cayman, -18000000, 0, false, Eastern Standard Time
America/Coral_Harbour, -18000000, 0, false, Eastern Standard Time
America/Detroit, -18000000, 3600000, true, Eastern Standard Time
America/Fort_Wayne, -18000000, 3600000, true, Eastern Standard Time
America/Grand_Turk, -18000000, 3600000, true, Eastern Standard Time
America/Guayaquil, -18000000, 0, false, Ecuador Time
America/Havana, -18000000, 3600000, true, Cuba Standard Time
America/Indiana/Indianapolis, -18000000, 3600000, true, Eastern Standard Time
America/Indiana/Marengo, -18000000, 3600000, true, Eastern Standard Time
America/Indiana/Petersburg, -18000000, 3600000, true, Eastern Standard Time
America/Indiana/Vevay, -18000000, 3600000, true, Eastern Standard Time
America/Indiana/Vincennes, -18000000, 3600000, true, Eastern Standard Time
America/Indiana/Winamac, -18000000, 3600000, true, Eastern Standard Time
America/Indianapolis, -18000000, 3600000, true, Eastern Standard Time
America/Iqaluit, -18000000, 3600000, true, Eastern Standard Time
America/Jamaica, -18000000, 0, false, Eastern Standard Time
America/Kentucky/Louisville, -18000000, 3600000, true, Eastern Standard Time
America/Kentucky/Monticello, -18000000, 3600000, true, Eastern Standard Time
America/Lima, -18000000, 0, false, Peru Time
America/Louisville, -18000000, 3600000, true, Eastern Standard Time
America/Montreal, -18000000, 3600000, true, Eastern Standard Time
America/Nassau, -18000000, 3600000, true, Eastern Standard Time
America/New_York, -18000000, 3600000, true, Eastern Standard Time
America/Nipigon, -18000000, 3600000, true, Eastern Standard Time
America/Panama, -18000000, 0, false, Eastern Standard Time
America/Pangnirtung, -18000000, 3600000, true, Eastern Standard Time
America/Port-au-Prince, -18000000, 0, false, Eastern Standard Time
America/Thunder_Bay, -18000000, 3600000, true, Eastern Standard Time
America/Toronto, -18000000, 3600000, true, Eastern Standard Time
Canada/Eastern, -18000000, 3600000, true, Eastern Standard Time
Cuba, -18000000, 3600000, true, Cuba Standard Time
EST, -18000000, 0, false, Eastern Standard Time
EST5EDT, -18000000, 3600000, true, Eastern Standard Time
Etc/GMT+5, -18000000, 0, false, GMT-05:00
IET, -18000000, 3600000, true, Eastern Standard Time
Jamaica, -18000000, 0, false, Eastern Standard Time
SystemV/EST5, -18000000, 0, false, Eastern Standard Time
SystemV/EST5EDT, -18000000, 3600000, true, Eastern Standard Time
US/East-Indiana, -18000000, 3600000, true, Eastern Standard Time
US/Eastern, -18000000, 3600000, true, Eastern Standard Time
US/Michigan, -18000000, 3600000, true, Eastern Standard Time
America/Caracas, -16200000, 0, false, Venezuela Time
America/Anguilla, -14400000, 0, false, Atlantic Standard Time
America/Antigua, -14400000, 0, false, Atlantic Standard Time
America/Argentina/San_Luis, -14400000, 0, false, Western Argentine Time
America/Aruba, -14400000, 0, false, Atlantic Standard Time
America/Asuncion, -14400000, 3600000, true, Paraguay Time
America/Barbados, -14400000, 0, false, Atlantic Standard Time
America/Blanc-Sablon, -14400000, 0, false, Atlantic Standard Time
America/Boa_Vista, -14400000, 0, false, Amazon Time
America/Campo_Grande, -14400000, 3600000, true, Amazon Time
America/Cuiaba, -14400000, 3600000, true, Amazon Time
America/Curacao, -14400000, 0, false, Atlantic Standard Time
America/Dominica, -14400000, 0, false, Atlantic Standard Time
America/Eirunepe, -14400000, 0, false, Amazon Time
America/Glace_Bay, -14400000, 3600000, true, Atlantic Standard Time
America/Goose_Bay, -14400000, 3600000, true, Atlantic Standard Time
America/Grenada, -14400000, 0, false, Atlantic Standard Time
America/Guadeloupe, -14400000, 0, false, Atlantic Standard Time
America/Guyana, -14400000, 0, false, Guyana Time
America/Halifax, -14400000, 3600000, true, Atlantic Standard Time
America/Kralendijk, -14400000, 0, false, Atlantic Standard Time
America/La_Paz, -14400000, 0, false, Bolivia Time
America/Lower_Princes, -14400000, 0, false, Atlantic Standard Time
America/Manaus, -14400000, 0, false, Amazon Time
America/Marigot, -14400000, 0, false, Atlantic Standard Time
America/Martinique, -14400000, 0, false, Atlantic Standard Time
America/Moncton, -14400000, 3600000, true, Atlantic Standard Time
America/Montserrat, -14400000, 0, false, Atlantic Standard Time
America/Port_of_Spain, -14400000, 0, false, Atlantic Standard Time
America/Porto_Acre, -14400000, 0, false, Amazon Time
America/Porto_Velho, -14400000, 0, false, Amazon Time
America/Puerto_Rico, -14400000, 0, false, Atlantic Standard Time
America/Rio_Branco, -14400000, 0, false, Amazon Time
America/Santiago, -14400000, 3600000, true, Chile Time
America/Santo_Domingo, -14400000, 0, false, Atlantic Standard Time
America/St_Barthelemy, -14400000, 0, false, Atlantic Standard Time
America/St_Kitts, -14400000, 0, false, Atlantic Standard Time
America/St_Lucia, -14400000, 0, false, Atlantic Standard Time
America/St_Thomas, -14400000, 0, false, Atlantic Standard Time
America/St_Vincent, -14400000, 0, false, Atlantic Standard Time
America/Thule, -14400000, 3600000, true, Atlantic Standard Time
America/Tortola, -14400000, 0, false, Atlantic Standard Time
America/Virgin, -14400000, 0, false, Atlantic Standard Time
Antarctica/Palmer, -14400000, 3600000, true, Chile Time
Atlantic/Bermuda, -14400000, 3600000, true, Atlantic Standard Time
Brazil/Acre, -14400000, 0, false, Amazon Time
Brazil/West, -14400000, 0, false, Amazon Time
Canada/Atlantic, -14400000, 3600000, true, Atlantic Standard Time
Chile/Continental, -14400000, 3600000, true, Chile Time
Etc/GMT+4, -14400000, 0, false, GMT-04:00
PRT, -14400000, 0, false, Atlantic Standard Time
SystemV/AST4, -14400000, 0, false, Atlantic Standard Time
SystemV/AST4ADT, -14400000, 3600000, true, Atlantic Standard Time
America/St_Johns, -12600000, 3600000, true, Newfoundland Standard Time
CNT, -12600000, 3600000, true, Newfoundland Standard Time
Canada/Newfoundland, -12600000, 3600000, true, Newfoundland Standard Time
AGT, -10800000, 0, false, Argentine Time
America/Araguaina, -10800000, 0, false, Brasilia Time
America/Argentina/Buenos_Aires, -10800000, 0, false, Argentine Time
America/Argentina/Catamarca, -10800000, 0, false, Argentine Time
America/Argentina/ComodRivadavia, -10800000, 0, false, Argentine Time
America/Argentina/Cordoba, -10800000, 0, false, Argentine Time
America/Argentina/Jujuy, -10800000, 0, false, Argentine Time
America/Argentina/La_Rioja, -10800000, 0, false, Argentine Time
America/Argentina/Mendoza, -10800000, 0, false, Argentine Time
America/Argentina/Rio_Gallegos, -10800000, 0, false, Argentine Time
America/Argentina/Salta, -10800000, 0, false, Argentine Time
America/Argentina/San_Juan, -10800000, 0, false, Argentine Time
America/Argentina/Tucuman, -10800000, 0, false, Argentine Time
America/Argentina/Ushuaia, -10800000, 0, false, Argentine Time
America/Bahia, -10800000, 3600000, true, Brasilia Time
America/Belem, -10800000, 0, false, Brasilia Time
America/Buenos_Aires, -10800000, 0, false, Argentine Time
America/Catamarca, -10800000, 0, false, Argentine Time
America/Cayenne, -10800000, 0, false, French Guiana Time
America/Cordoba, -10800000, 0, false, Argentine Time
America/Fortaleza, -10800000, 0, false, Brasilia Time
America/Godthab, -10800000, 3600000, true, Western Greenland Time
America/Jujuy, -10800000, 0, false, Argentine Time
America/Maceio, -10800000, 0, false, Brasilia Time
America/Mendoza, -10800000, 0, false, Argentine Time
America/Miquelon, -10800000, 3600000, true, Pierre & Miquelon Standard Time
America/Montevideo, -10800000, 3600000, true, Uruguay Time
America/Paramaribo, -10800000, 0, false, Suriname Time
America/Recife, -10800000, 0, false, Brasilia Time
America/Rosario, -10800000, 0, false, Argentine Time
America/Santarem, -10800000, 0, false, Brasilia Time
America/Sao_Paulo, -10800000, 3600000, true, Brasilia Time
Antarctica/Rothera, -10800000, 0, false, Rothera Time
Atlantic/Stanley, -10800000, 0, false, Falkland Is. Time
BET, -10800000, 3600000, true, Brasilia Time
Brazil/East, -10800000, 3600000, true, Brasilia Time
Etc/GMT+3, -10800000, 0, false, GMT-03:00
America/Noronha, -7200000, 0, false, Fernando de Noronha Time
Atlantic/South_Georgia, -7200000, 0, false, South Georgia Standard Time
Brazil/DeNoronha, -7200000, 0, false, Fernando de Noronha Time
Etc/GMT+2, -7200000, 0, false, GMT-02:00
America/Scoresbysund, -3600000, 3600000, true, Eastern Greenland Time
Atlantic/Azores, -3600000, 3600000, true, Azores Time
Atlantic/Cape_Verde, -3600000, 0, false, Cape Verde Time
Etc/GMT+1, -3600000, 0, false, GMT-01:00
Africa/Abidjan, 0, 0, false, Greenwich Mean Time
Africa/Accra, 0, 0, false, Ghana Mean Time
Africa/Bamako, 0, 0, false, Greenwich Mean Time
Africa/Banjul, 0, 0, false, Greenwich Mean Time
Africa/Bissau, 0, 0, false, Greenwich Mean Time
Africa/Casablanca, 0, 3600000, true, Western European Time
